Aimag,Year,Mort_hor,Mort_cat,Mort_cam,Mort_sheep,Mort_goat,All_SFU,All
Orkhon,2009,0.008849557522123894,0.009478672985781991,0.0,0.008108108108108109,0.009577015163607342,0.00901340395381792,0.007202670755924267
Orkhon,2010,0.06140350877192982,0.136986301369863,0.0,0.1046511627906977,0.1315315315315315,0.11262090115593301,0.08691450089280442
Orkhon,2011,0.009345794392523366,0.005617977528089887,0.0,0.004103967168262654,0.005925925925925926,0.006191754857052599,0.004998733002960366
Orkhon,2012,0.00847457627118644,0.005319148936170213,0.0,0.01749271137026239,0.007246376811594203,0.00901864873127484,0.0077065626778426485
Orkhon,2013,0.00847457627118644,0.00975609756097561,0.0,0.01371571072319202,0.009749303621169917,0.010329520232200786,0.008339137635304797
Orkhon,2014,0.008620689655172414,0.004629629629629629,0.0,0.002503128911138924,0.0030441400304414,0.004795478548796849,0.0037595176452764737
Orkhon,2015,0.01098901098901099,0.01098901098901099,0.0,0.005859374999999999,0.006726457399103138,0.009329908589559567,0.006912770875425023
Orkhon,2016,0.01098901098901099,0.005208333333333334,,0.004158004158004158,0.002309468822170901,0.005978117832838291,0.005666204325629845
Orkhon,2017,0.02654867256637168,0.03703703703703703,,0.0493358633776091,0.03497942386831276,0.03614734220357869,0.03697524921233264
Orkhon,2018,0.04065040650406504,0.09589041095890412,,0.0440251572327044,0.04197530864197531,0.06540692855958893,0.05563532083441221
Orkhon,2019,0.01769911504424779,0.005714285714285714,0.0,0.004210526315789474,0.002631578947368421,0.00859932407059707,0.00605110120433828
Orkhon,2020,0.00819672131147541,0.01052631578947368,0.0,0.009881422924901186,0.006666666666666666,0.009175257731958764,0.007054225338503389
Orkhon,2021,0.0,0.004926108374384237,0.0,0.001953125,0.005714285714285714,0.0031255034638311583,0.00251870381773399
Orkhon,2022,0.006369426751592357,0.00411522633744856,0.0,0.006711409395973154,0.003642987249544627,0.005147723227731989,0.00416780994691174
Orkhon,2023,0.01724137931034483,0.02173913043478261,0.0,0.01508295625942685,0.02218430034129693,0.01933946036270703,0.015249553269170244
