Aimag,Year,Temp_Winter,Temp_Winter_Z_study,Temp_Winter_Z_climate
Arkhangai,2001,-20.090407694121918,-0.5993914469096501,-0.41844141828039727
Arkhangai,2002,-17.998719278971333,0.5904216818120626,0.7325047107519777
Arkhangai,2003,-18.31086611335658,0.4128634953487341,0.560746724178462
Arkhangai,2004,-18.499156791781182,0.3057582880995086,0.4571402664020672
Arkhangai,2005,-22.12670519793473,-1.7576966162985195,-1.5389088419157273
Arkhangai,2006,-19.54246132933061,-0.287703638179735,-0.11693535126490684
Arkhangai,2007,-15.4934851846577,2.0154716052831056,2.1110032778832686
Arkhangai,2008,-20.333809821988307,-0.7378456474476311,-0.5523728082699028
Arkhangai,2009,-18.780417859112752,0.14576882308863512,0.3023770930976532
Arkhangai,2010,-22.62848190495995,-2.043121782580935,-1.8150101744116163
Arkhangai,2011,-20.984811552071257,-1.1081543414494952,-0.9105848229300348
Arkhangai,2012,-22.167534703384188,-1.7809216249905924,-1.5613751714641355
Arkhangai,2013,-21.620606438907554,-1.469812941292867,-1.2604293115080012
Arkhangai,2014,-18.166963676170045,0.4947193816171803,0.6399286672625829
Arkhangai,2015,-16.870921174979483,1.2319460030051665,1.3530726943567553
Arkhangai,2016,-19.300389494719308,-0.15000614708685492,0.016264048308946715
Arkhangai,2017,-17.79020792643227,0.7090289958563187,0.8472375420503054
Arkhangai,2018,-19.27494937284491,-0.13553506679440216,0.030262409432604095
Arkhangai,2019,-21.02082568510077,-1.1286402264348845,-0.9304015062852334
Arkhangai,2020,-17.14971639374154,1.0733591842872097,1.1996663478365341
Arkhangai,2021,-17.587389562159387,0.8243979728080632,0.9588378213107073
Arkhangai,2022,-17.756354890046275,0.7282855862965595,0.8658650875787098
Arkhangai,2023,-18.315484063419273,0.41023667121346935,0.558205709125636
Arkhangai,2024,-20.5987185537079,-0.8885334289690002,-0.6981381512871092
Arkhangai,2025,-16.92696284541375,1.2000678729953544,1.3222359104535533
Arkhangai,2026,-15.793217863859931,1.8449749508872482,1.946076148023215
Bayan-Ulgii,1970,-21.657567492398325,0.5582919145593236,0.5540103410804282
Bayan-Ulgii,1971,-23.897137358694344,-1.039768049933196,-1.081166101479088
Bayan-Ulgii,1972,-23.590538348573602,-0.8209922883011933,-0.8573090625867645
Bayan-Ulgii,1973,-22.79828722404709,-0.2556762323105327,-0.27886299804867026
Bayan-Ulgii,1974,-22.757314601088993,-0.22643994485419475,-0.24894766972637947
Bayan-Ulgii,1975,-22.783451577388856,-0.2450901580251647,-0.26803105201708577
Bayan-Ulgii,1976,-21.771786059755243,0.4767904966121967,0.47061597439615915
Bayan-Ulgii,1977,-24.876953217477485,-1.7389221687934606,-1.7965587464865038
Bayan-Ulgii,1978,-22.656941361860774,-0.15481795282304947,-0.1756621881169925
Bayan-Ulgii,1979,-20.411124928792294,1.4476992909108224,1.4640750582767423
Bayan-Ulgii,1980,-22.47928686430958,-0.02805140522784519,-0.04595136565852269
Bayan-Ulgii,1981,-23.12857064911811,-0.4913521656603598,-0.5200127313843919
Bayan-Ulgii,1982,-20.938809863003794,1.0711661985880816,1.0787966231175496
Bayan-Ulgii,1983,-20.999700985532797,1.0277169333648695,1.0343382069641367
Bayan-Ulgii,1984,-24.469121852065555,-1.4479113871530456,-1.4987889598437665
Bayan-Ulgii,1985,-25.050110418146286,-1.8624796403047477,-1.922985958985776
Bayan-Ulgii,1986,-21.93693360993354,0.3589483644484698,0.35003684549200514
Bayan-Ulgii,1987,-20.40290830207591,1.4535623195201275,1.470074261358607
Bayan-Ulgii,1988,-23.185612684307653,-0.5320548890276571,-0.561660814608451
Bayan-Ulgii,1989,-21.69182029492925,0.5338505996353687,0.5290013531345217
Bayan-Ulgii,1990,-20.893119904489204,1.1037685721868338,1.1121562181669964
Bayan-Ulgii,1991,-21.977508695197805,0.3299957426559945,0.32041177124116194
Bayan-Ulgii,1992,-20.863839617642466,1.124661715492078,1.1335346247993185
Bayan-Ulgii,1993,-21.11855493025344,0.9429079110885544,0.947559413662238
