Aimag,Year,Season,Seasonal_Temp_C
Bayan-Ulgii,1970,SON,-7.630371467911855
Bayan-Ulgii,1971,DJF,-23.8865931368422
Bayan-Ulgii,1971,JJA,7.992370465158069
Bayan-Ulgii,1971,MAM,-6.374600956357736
Bayan-Ulgii,1971,SON,-6.1654224848838375
Bayan-Ulgii,1972,DJF,-23.580399752211274
Bayan-Ulgii,1972,JJA,8.990389278017263
Bayan-Ulgii,1972,MAM,-4.981603068501534
Bayan-Ulgii,1972,SON,-7.167506683466513
Bayan-Ulgii,1973,DJF,-22.788675090453612
Bayan-Ulgii,1973,JJA,8.532140131106344
Bayan-Ulgii,1973,MAM,-5.73410317139605
Bayan-Ulgii,1973,SON,-5.239612705040686
Bayan-Ulgii,1974,DJF,-22.750731392929815
Bayan-Ulgii,1974,JJA,10.350834380986612
Bayan-Ulgii,1974,MAM,-4.247445316241596
Bayan-Ulgii,1974,SON,-8.687820633343788
Bayan-Ulgii,1975,DJF,-22.776322779162154
Bayan-Ulgii,1975,JJA,9.003075236470329
Bayan-Ulgii,1975,MAM,-7.929729967373062
Bayan-Ulgii,1975,SON,-7.192966294562657
Bayan-Ulgii,1976,DJF,-21.765320198380604
Bayan-Ulgii,1976,JJA,8.080144164571383
Bayan-Ulgii,1976,MAM,-7.145324262713999
Bayan-Ulgii,1976,SON,-8.985900785365759
Bayan-Ulgii,1977,DJF,-24.86770614682484
Bayan-Ulgii,1977,JJA,9.392982781070424
Bayan-Ulgii,1977,MAM,-6.088533739111867
Bayan-Ulgii,1977,SON,-5.1417125482668595
Bayan-Ulgii,1978,DJF,-22.656649090412454
Bayan-Ulgii,1978,JJA,9.383241476592456
Bayan-Ulgii,1978,MAM,-4.330090776348457
Bayan-Ulgii,1978,SON,-5.6269480036592805
Bayan-Ulgii,1979,DJF,-20.405686851296824
Bayan-Ulgii,1979,JJA,9.38590457375481
Bayan-Ulgii,1979,MAM,-7.430195915836005
Bayan-Ulgii,1979,SON,-6.520988984674307
Bayan-Ulgii,1980,DJF,-22.459446079064126
Bayan-Ulgii,1980,JJA,9.503809529154715
Bayan-Ulgii,1980,MAM,-6.875606399477648
Bayan-Ulgii,1980,SON,-4.463336251795955
Bayan-Ulgii,1981,DJF,-23.11916643047696
Bayan-Ulgii,1981,JJA,9.83809323365663
Bayan-Ulgii,1981,MAM,-3.1061706776819697
Bayan-Ulgii,1981,SON,-8.258871986126055
Bayan-Ulgii,1982,DJF,-20.932153600933887
Bayan-Ulgii,1982,JJA,9.37110553609916
Bayan-Ulgii,1982,MAM,-4.170742599078043
Bayan-Ulgii,1982,SON,-5.074904191174247
Bayan-Ulgii,1983,DJF,-20.992698722050086
Bayan-Ulgii,1983,JJA,8.286285844707876
Bayan-Ulgii,1983,MAM,-5.613709104106778
Bayan-Ulgii,1983,SON,-5.527280867419458
Bayan-Ulgii,1984,DJF,-24.461009257232526
Bayan-Ulgii,1984,JJA,8.166912303939199
Bayan-Ulgii,1984,MAM,-6.34211142821328
Bayan-Ulgii,1984,SON,-7.911094016590315
Bayan-Ulgii,1985,DJF,-25.036471452384138
Bayan-Ulgii,1985,JJA,8.162762848718891
Bayan-Ulgii,1985,MAM,-6.573360656504407
Bayan-Ulgii,1985,SON,-7.642933894482587
Bayan-Ulgii,1986,DJF,-21.927501248765243
Bayan-Ulgii,1986,JJA,9.408165334650405
Bayan-Ulgii,1986,MAM,-4.9405002170138665
Bayan-Ulgii,1986,SON,-6.1583907554889326
Bayan-Ulgii,1987,DJF,-20.3928090764188
Bayan-Ulgii,1987,JJA,9.095639143318987
Bayan-Ulgii,1987,MAM,-6.2649080356875375
Bayan-Ulgii,1987,SON,-8.371410115559874
Bayan-Ulgii,1988,DJF,-23.169530022281318
Bayan-Ulgii,1988,JJA,9.190584590517263
Bayan-Ulgii,1988,MAM,-6.279288128966094
Bayan-Ulgii,1988,SON,-5.872927751212262
Bayan-Ulgii,1989,DJF,-21.678552000549995
Bayan-Ulgii,1989,JJA,9.388209410919563
Bayan-Ulgii,1989,MAM,-4.101350537296434
Bayan-Ulgii,1989,SON,-6.585040587209628
Bayan-Ulgii,1990,DJF,-20.877835468862227
Bayan-Ulgii,1990,JJA,9.137288972701171
Bayan-Ulgii,1990,MAM,-4.740443344408503
