Aimag,Year,Season,Seasonal_SPEI3
Arkhangai,1996,MAM,-0.5461015386370149
Arkhangai,1996,SON,-0.09822831742395019
Arkhangai,1997,DJF,-0.6106116673701786
Arkhangai,1997,JJA,-0.13049951447520056
Arkhangai,1997,MAM,-0.4053348830625745
Arkhangai,1997,SON,0.38290971000313306
Arkhangai,1998,DJF,-0.6927727789717563
Arkhangai,1998,JJA,-0.0526257345145135
Arkhangai,1998,MAM,-0.3333241309207992
Arkhangai,1998,SON,0.6580850869426682
Arkhangai,1999,DJF,-0.7577298129276298
Arkhangai,1999,JJA,0.2616975258251739
Arkhangai,1999,MAM,0.45245261739999504
Arkhangai,1999,SON,0.7027513746764997
Arkhangai,2000,DJF,0.04609861061623667
Arkhangai,2000,JJA,-0.5743497832304212
Arkhangai,2000,MAM,0.5880798844563248
Arkhangai,2000,SON,-0.13607683461184447
Arkhangai,2001,DJF,1.2428752816580926
Arkhangai,2001,JJA,-0.37434162127665277
Arkhangai,2001,MAM,0.9230844800014414
Arkhangai,2001,SON,-0.8986005670673674
Arkhangai,2002,DJF,0.4108637847151225
Arkhangai,2002,JJA,-1.6286637156922146
Arkhangai,2002,MAM,-0.4486477491239709
Arkhangai,2002,SON,-1.7169139968466476
Arkhangai,2003,DJF,0.04092744597049437
Arkhangai,2003,JJA,0.15252516242928102
Arkhangai,2003,MAM,1.1822322675974448
Arkhangai,2003,SON,0.30468625960509665
Arkhangai,2004,DJF,0.4382134701598703
Arkhangai,2004,JJA,-0.665033843385928
Arkhangai,2004,MAM,-0.9238226244670771
Arkhangai,2004,SON,0.003583011988522334
Arkhangai,2005,DJF,-0.14873095973593864
Arkhangai,2005,JJA,-0.39884150554979686
Arkhangai,2005,MAM,-0.21646399723492513
Arkhangai,2005,SON,-0.7054464738195271
Arkhangai,2006,DJF,-0.671840014275326
Arkhangai,2006,JJA,0.4136144830665509
Arkhangai,2006,MAM,-0.15149890469633845
Arkhangai,2006,SON,-0.8564524687267848
Arkhangai,2007,DJF,-1.4018717552263007
Arkhangai,2007,JJA,-0.6133484781830248
Arkhangai,2007,MAM,-0.8909486221011054
Arkhangai,2007,SON,0.236516160860557
Arkhangai,2008,DJF,-0.8005411503575857
Arkhangai,2008,JJA,0.10144948320653646
Arkhangai,2008,MAM,-0.02256995020939094
Arkhangai,2008,SON,-1.0498486092974741
Arkhangai,2009,DJF,-0.8328435470697939
Arkhangai,2009,JJA,-0.5815628931649668
Arkhangai,2009,MAM,-0.19392855225063135
Arkhangai,2009,SON,-0.7225441911009236
Arkhangai,2010,DJF,1.3094018329983315
Arkhangai,2010,JJA,-0.26000938120270906
Arkhangai,2010,MAM,1.1677859621863425
Arkhangai,2010,SON,-0.4939049202642336
Arkhangai,2011,DJF,0.9770955285487085
Arkhangai,2011,JJA,-0.019731525429783306
Arkhangai,2011,MAM,0.09559045350343078
Arkhangai,2011,SON,0.25992410961893975
Arkhangai,2012,DJF,0.19224726054024557
Arkhangai,2012,JJA,-0.10141102066229728
Arkhangai,2012,MAM,-0.6634918212744235
Arkhangai,2012,SON,0.18959045511775785
Arkhangai,2013,DJF,1.1273691839414275
Arkhangai,2013,JJA,-0.45653872227850384
Arkhangai,2013,MAM,-0.3986298323679146
Arkhangai,2013,SON,0.08602396500517515
Arkhangai,2014,DJF,-0.16264972205126368
Arkhangai,2014,JJA,-0.40370192596216525
Arkhangai,2014,MAM,0.05040537072284357
Arkhangai,2014,SON,-0.521471373667565
Arkhangai,2015,DJF,-0.9069604907452352
Arkhangai,2015,JJA,-0.41375566532100305
Arkhangai,2015,MAM,-0.36688885105435737
Arkhangai,2015,SON,0.14336806321712856
Arkhangai,2016,DJF,0.34740419544569595
Arkhangai,2016,JJA,0.9120678585777149
Arkhangai,2016,MAM,1.1011453980334434
Arkhangai,2016,SON,1.0743845620909813
Arkhangai,2017,DJF,0.9058321413378851
Arkhangai,2017,JJA,-2.198387729248864
Arkhangai,2017,MAM,-0.7395673699286864
Arkhangai,2017,SON,-0.24024811638996443
Arkhangai,2018,DJF,0.6050147796382443
Arkhangai,2018,JJA,-0.22601930170708193
Arkhangai,2018,MAM,-1.3038541008635272
Arkhangai,2018,SON,1.0118471976687375
Arkhangai,2019,DJF,-0.6419192312984883
Arkhangai,2019,JJA,-0.5964354094093092
Arkhangai,2019,MAM,-0.8426839648190421
Arkhangai,2019,SON,-1.351838372692464
Arkhangai,2020,DJF,0.3685242972284808
Arkhangai,2020,JJA,-0.7872577088550091
Arkhangai,2020,MAM,-2.6699893873698395
Arkhangai,2020,SON,0.34342573669270177
Arkhangai,2021,DJF,-0.6562814690438089
Arkhangai,2021,JJA,0.6974097138127943
Arkhangai,2021,MAM,-0.39398850833713167
Arkhangai,2021,SON,1.0311071468999762
Arkhangai,2022,DJF,-1.0496465052646196
Arkhangai,2022,JJA,-1.1925779794066802
Arkhangai,2022,MAM,-0.8208569221898016
Arkhangai,2022,SON,-0.7476516250639976
Arkhangai,2023,DJF,0.16422443834693715
Arkhangai,2023,JJA,0.24625048282456793
Arkhangai,2023,MAM,-0.7513588794689965
Arkhangai,2023,SON,1.2178878945683365
Arkhangai,2024,DJF,1.6152169251442487
Arkhangai,2024,JJA,-1.0455700846756393
Arkhangai,2024,MAM,0.3496659319853434
Arkhangai,2024,SON,-0.30604123210269996
Arkhangai,2025,DJF,0.3703085748944844
Bayan-Ulgii,1950,DJF,-0.684741832887219
Bayan-Ulgii,1950,JJA,-1.0577291729255
Bayan-Ulgii,1950,MAM,-0.8585796105552789
Bayan-Ulgii,1950,SON,-0.38875467276852665
Bayan-Ulgii,1951,DJF,0.015681396134469068
Bayan-Ulgii,1951,JJA,0.25897249254651694
Bayan-Ulgii,1951,MAM,-0.5143730646077297
Bayan-Ulgii,1951,SON,0.13631671523751115
Bayan-Ulgii,1952,DJF,0.14290322018620288
Bayan-Ulgii,1952,JJA,-0.15748527804798013
Bayan-Ulgii,1952,MAM,-0.14840980429270317
Bayan-Ulgii,1952,SON,-0.36203894135577985
Bayan-Ulgii,1953,DJF,0.33821457494256635
Bayan-Ulgii,1953,JJA,-1.2007821028798658
Bayan-Ulgii,1953,MAM,0.040613715704992066
Bayan-Ulgii,1953,SON,-0.9848925658912002
Bayan-Ulgii,1954,DJF,0.1606035478176747
Bayan-Ulgii,1954,JJA,0.6090945493043944
Bayan-Ulgii,1954,MAM,0.18179677727022017
Bayan-Ulgii,1954,SON,0.03912066136592249
Bayan-Ulgii,1955,DJF,0.5021521877303003
Bayan-Ulgii,1955,JJA,-1.1424933243689332
Bayan-Ulgii,1955,MAM,0.7405799409408752
Bayan-Ulgii,1955,SON,-0.902308368630956
Bayan-Ulgii,1956,DJF,0.20513011217407784
Bayan-Ulgii,1956,JJA,0.040012830345801303
Bayan-Ulgii,1956,MAM,0.5819656362405062
Bayan-Ulgii,1956,SON,0.1438383285573154
Bayan-Ulgii,1957,DJF,-0.7039936873806781
Bayan-Ulgii,1957,JJA,-1.0207109185766146
Bayan-Ulgii,1957,MAM,-0.6105688553970715
Bayan-Ulgii,1957,SON,0.3262643312937655
Bayan-Ulgii,1958,DJF,0.10690899705384017
Bayan-Ulgii,1958,JJA,1.2880389714014557
Bayan-Ulgii,1958,MAM,-0.042517185880744525
Bayan-Ulgii,1958,SON,1.1020959102553693
Bayan-Ulgii,1959,DJF,-0.4058549547491546
Bayan-Ulgii,1959,JJA,0.9138869769410471
Bayan-Ulgii,1959,MAM,0.6925574939493961
Bayan-Ulgii,1959,SON,-0.9898997181954461
Bayan-Ulgii,1960,DJF,-0.024243806896715594
Bayan-Ulgii,1960,JJA,0.36184207677237434
Bayan-Ulgii,1960,MAM,0.9289577774040881
Bayan-Ulgii,1960,SON,-0.5633871568958013
Bayan-Ulgii,1961,DJF,0.6998494045462794
Bayan-Ulgii,1961,JJA,1.3046148982247068
Bayan-Ulgii,1961,MAM,0.43992298166011556
Bayan-Ulgii,1961,SON,0.5080612936053788
Bayan-Ulgii,1962,DJF,-0.31133986596036733
Bayan-Ulgii,1962,JJA,-0.26402894221004497
Bayan-Ulgii,1962,MAM,-1.4426342418539686
Bayan-Ulgii,1962,SON,-0.9264453851191479
Bayan-Ulgii,1963,DJF,0.02802374093501123
Bayan-Ulgii,1963,JJA,-0.14562422933374275
Bayan-Ulgii,1963,MAM,0.543203349679961
Bayan-Ulgii,1963,SON,0.38633779913085203
Bayan-Ulgii,1964,DJF,-0.030498853996873465
Bayan-Ulgii,1964,JJA,-0.2514659967742175
Bayan-Ulgii,1964,MAM,0.29730779671212076
Bayan-Ulgii,1964,SON,0.3262984327435873
Bayan-Ulgii,1965,DJF,-0.14007986148226811
Bayan-Ulgii,1965,JJA,-0.40695569826875166
Bayan-Ulgii,1965,MAM,-0.5298825114629823
Bayan-Ulgii,1965,SON,0.33134176572761603
Bayan-Ulgii,1966,DJF,0.999200156311962
Bayan-Ulgii,1966,JJA,0.10909251133751582
Bayan-Ulgii,1966,MAM,1.4597765924018835
Bayan-Ulgii,1966,SON,0.20917965511081676
Bayan-Ulgii,1967,DJF,0.17814290127715576
Bayan-Ulgii,1967,JJA,0.1063069935448961
Bayan-Ulgii,1967,MAM,-1.2724909480076407
Bayan-Ulgii,1967,SON,0.22336750108981945
Bayan-Ulgii,1968,DJF,-1.1248637800486718
Bayan-Ulgii,1968,JJA,-0.6753039463219932
Bayan-Ulgii,1968,MAM,0.5458508007986856
Bayan-Ulgii,1968,SON,1.4271955000629173
Bayan-Ulgii,1969,DJF,1.3964409994411056
Bayan-Ulgii,1969,JJA,1.9349917768790825
Bayan-Ulgii,1969,MAM,0.08587308985316222
Bayan-Ulgii,1969,SON,1.6203304749339167
Bayan-Ulgii,1970,DJF,-0.09835523624593599
Bayan-Ulgii,1970,JJA,1.2358333345464954
Bayan-Ulgii,1970,MAM,0.5252329620542502
Bayan-Ulgii,1970,SON,0.4350800438727923
Bayan-Ulgii,1971,DJF,0.5097437632270391
Bayan-Ulgii,1971,JJA,0.8768843193947987
Bayan-Ulgii,1971,MAM,0.7520780734003605
Bayan-Ulgii,1971,SON,1.052967302017186
Bayan-Ulgii,1972,DJF,0.3820195792106801
Bayan-Ulgii,1972,JJA,-0.1404441907146545
Bayan-Ulgii,1972,MAM,0.8772598517637057
