Aimag,Year,JJA_Mean_SPEI3
Govi-Altai,1979,1.4440252686572177
Govi-Altai,1980,-0.8372623572113801
Govi-Altai,1981,-0.040533613482032646
Govi-Altai,1982,-0.3173953814603123
Govi-Altai,1983,0.32124534879724825
Govi-Altai,1984,1.4588969544762438
Govi-Altai,1985,-0.9097183515647562
Govi-Altai,1986,-0.1427772829339453
Govi-Altai,1987,1.0916143712872455
Govi-Altai,1988,-0.14461136613978728
Govi-Altai,1989,-0.6004755242901332
Govi-Altai,1990,0.4701571725088149
Govi-Altai,1991,-0.07809569504058293
Govi-Altai,1992,0.40142894873845447
Govi-Altai,1993,1.4958222520440845
Govi-Altai,1994,0.9044082731382501
Govi-Altai,1995,0.26678613780691257
Govi-Altai,1996,0.3847821532689231
Govi-Altai,1997,0.26014391199174053
Govi-Altai,1998,0.3726881327121271
Govi-Altai,1999,0.44497523614252293
Govi-Altai,2000,0.38197553575324306
Govi-Altai,2001,-0.7768049539144177
Govi-Altai,2002,-0.2070089606888374
Govi-Altai,2003,1.6283363747081805
Govi-Altai,2004,-0.7197462743627162
Govi-Altai,2005,-0.34879014304818295
Govi-Altai,2006,-0.3486863923126093
Govi-Altai,2007,-0.7374817057213664
Govi-Altai,2008,-1.1157572721449582
Govi-Altai,2009,-1.562106348739561
Govi-Altai,2010,-0.04878155795077723
Govi-Altai,2011,0.023965283824532106
Govi-Altai,2012,-0.43157169139736734
Govi-Altai,2013,-0.2822397120761475
Govi-Altai,2014,0.2675404426247711
Govi-Altai,2015,1.1024906167211943
Govi-Altai,2016,0.8787964718635368
Govi-Altai,2017,-1.3966070754722466
Govi-Altai,2018,-0.5361158290626575
Govi-Altai,2019,-0.21112711979310986
Govi-Altai,2020,-0.8095486871638176
Govi-Altai,2021,-0.6194336216904103
Govi-Altai,2022,-2.765839309349967
Govi-Altai,2023,-0.5469947404632431
Govi-Altai,2024,-1.5047652662525501
Govisumber,1950,2.662689836895808
Govisumber,1951,0.3301094154364432
Govisumber,1952,0.7760435980901078
Govisumber,1953,0.41988620936582655
Govisumber,1954,2.4342413629063957
Govisumber,1955,1.3000573645365525
Govisumber,1956,1.3528023553645319
Govisumber,1957,0.4316693480409712
Govisumber,1958,1.474593761218125
Govisumber,1959,1.818413981827206
Govisumber,1960,1.7635905288217169
Govisumber,1961,0.10855458043718368
Govisumber,1962,0.613112558762223
Govisumber,1963,0.4858834866571408
