Aimag,Year,Mort_hor,Mort_cat,Mort_cam,Mort_sheep,Mort_goat,All_SFU,All,SPEI_PrevSummer,SPEI_PrevSummer_point,Temp_Winter,Temp_Winter_Z_study,Temp_Winter_Z_climate
Dundgovi,1992,0.0437862202189311,0.04231166150670794,0.04781704781704781,0.03218909609217247,0.03445867287543655,0.03956078981338348,0.04011253970205918,0.35997404986400366,0.35703752598789523,-14.429379583709846,0.3299130483965376,0.4774761249389883
Dundgovi,1993,0.0964261631827377,0.09684210526315788,0.08759124087591241,0.05142524723676557,0.05477308294209703,0.0778854688571921,0.07741156790013412,0.8732758389879391,0.8779988404667763,-14.748663216206543,0.13715558339342945,0.2779473832561574
Dundgovi,1994,0.03184230477634572,0.07847800237812129,0.02866242038216561,0.05026724357342836,0.05878438331854481,0.04929009299745715,0.049606870885721153,1.5692515477632372,1.5652456401993904,-15.925897125699604,-0.5735624146922644,-0.457737057536278
Dundgovi,1995,0.01558073654390935,0.01360544217687075,0.02295081967213115,0.01351175782772509,0.01219016659894352,0.014534581202866681,0.015567784563915974,1.1699106624887838,1.177966158441532,-14.26778555343398,0.42747036880172223,0.5784604856851797
Dundgovi,1996,0.01037851037851038,0.01447876447876448,0.009771986970684038,0.009988901220865704,0.01007431874483898,0.010980763069976049,0.010938496358732716,0.30021497980689843,0.304341707614,-15.485050820118136,-0.30741530387615196,-0.18224060336365458
Dundgovi,1997,0.006030701754385965,0.0146551724137931,0.0101010101010101,0.00724379527372046,0.007263563593240439,0.008376884168781193,0.009058848627230012,0.6791197808362784,0.6776844040931415,-13.193736396144256,1.0758938135895888,1.2496620602342294
Dundgovi,1998,0.00306435137895812,0.008600469116497264,0.006711409395973154,0.00521411138229421,0.006485925541574783,0.005409290069316189,0.006015253363059507,0.6658226006145868,0.6491791983693553,-13.475256803142468,0.9059347099071291,1.073732551642922
Dundgovi,1999,0.03853211009174312,0.08078602620087336,0.02380952380952381,0.01729284611425631,0.02124927028604787,0.038228669143227784,0.03633395530048889,0.8030701444847606,0.8028125206086932,-13.07228797419152,1.149214483870047,1.3255583741858872
Dundgovi,2000,0.3431734317343174,0.6121642969984202,0.01408450704225352,0.3022245214692189,0.3733211631242666,0.37723355029919703,0.32899358407369533,-0.09671733468812452,-0.09805956127184366,-16.333187380358925,-0.8194511136985099,-0.7122634526927685
Dundgovi,2001,0.07773851590106008,0.2933025404157044,0.01421800947867299,0.04926182585116,0.03330312641594925,0.0834835673980061,0.09356480361250934,-0.9313109526335211,-0.9290482915985708,-15.446003882564693,-0.2838419417213778,-0.1578391448370034
